,Len,Indices
275,9,"[11857, 14911, 20747, 32349, 68839, 75312, 92584, 92733, 106316]"
276,5,"[27310, 62334, 77776, 111623, 119266]"
277,10,"[11838, 50349, 51335, 51655, 66707, 84877, 104294, 104993, 125735, 131102]"
278,5,"[4619, 92522, 114997, 129062, 130346]"
279,10,"[19222, 28938, 38972, 72614, 82469, 89145, 92174, 102282, 113283, 123066]"
280,36,"[6795, 8106, 8161, 14718, 14733, 16483, 17399, 17983, 30690, 31850, 34050, 41425, 46707, 48120, 50443, 52538, 55693, 60535, 65331, 68230, 70985, 71076, 71600, 78230, 85733, 88330, 89724, 90571, 103878, 104827, 108686, 112885, 120668, 127873, 130989, 131679]"
281,16,"[10534, 23286, 23647, 23741, 27413, 36209, 36808, 46805, 60492, 62144, 78167, 106365, 106767, 111758, 120335, 120511]"
282,12,"[8272, 30775, 35460, 39732, 46942, 57934, 84044, 85494, 93906, 95395, 104445, 109417]"
283,9,"[45242, 63169, 89583, 94699, 107972, 108171, 108433, 123803, 128918]"
284,15,"[5504, 37689, 42354, 47369, 49888, 65351, 80327, 83612, 84808, 88945, 104304, 106004, 116870, 121459, 131422]"
285,7,"[4470, 25214, 33912, 40147, 57245, 83983, 92859]"
286,10,"[10885, 18547, 22659, 22841, 43487, 52773, 53922, 86966, 89826, 107641]"
287,43,"[4471, 4691, 10037, 10090, 12678, 13145, 16151, 16742, 32507, 35484, 35868, 36531, 39174, 39973, 41090, 41216, 46937, 48022, 52870, 53078, 57177, 58108, 63509, 79940, 80560, 82512, 87432, 90472, 93581, 101991, 108935, 109509, 112587, 114947, 115970, 117144, 117573, 119152, 119855, 123190, 124420, 126802, 131718]"
288,9,"[10262, 44923, 57513, 61356, 65870, 73707, 82367, 119790, 127621]"
289,15,"[4740, 18320, 30290, 30661, 41308, 51967, 62593, 67006, 80545, 86592, 108531, 112581, 126107, 128384, 132361]"
290,9,"[23516, 29378, 30813, 30916, 46960, 49282, 88141, 116650, 133028]"
291,7,"[6818, 31353, 36356, 44845, 55133, 84969, 129212]"
292,2,"[74368, 114730]"
293,4,"[15974, 26826, 76412, 99069]"
294,15,"[21911, 39051, 39207, 41031, 49662, 64780, 66327, 76592, 84038, 93497, 109503, 109985, 117836, 125164, 131535]"
295,5,"[172, 40717, 64336, 78874, 125151]"
296,5,"[7070, 30887, 70470, 90001, 115258]"
297,7,"[9767, 20935, 22571, 49078, 74531, 83308, 92736]"
298,6,"[34611, 100635, 105574, 125839, 127560, 128684]"
299,5,"[9296, 15953, 25680, 61340, 109212]"
300,6,"[9604, 16629, 30281, 41172, 51971, 123221]"
301,5,"[4464, 73787, 93349, 105950, 116871]"
302,6,"[16883, 18385, 41261, 75222, 101519, 123931]"
303,11,"[12369, 19041, 19218, 35436, 49660, 53560, 71570, 82327, 102095, 103819, 133268]"
304,7,"[28729, 53653, 62053, 62561, 76558, 88969, 92842]"
305,10,"[46783, 55065, 72117, 81596, 89663, 116036, 116139, 116351, 118374, 128148]"
306,9,"[11898, 43439, 54675, 64249, 66420, 83337, 103326, 103838, 126751]"
307,14,"[7175, 19804, 30068, 40458, 50611, 60199, 66406, 70581, 71800, 82842, 93599, 98517, 114462, 131439]"
308,5,"[10714, 57794, 65732, 74147, 104506]"
309,8,"[501, 13260, 58149, 59419, 76523, 94184, 124448, 126903]"
310,9,"[19646, 21974, 22173, 27914, 44610, 49120, 71662, 86318, 108495]"
311,11,"[8885, 16598, 20933, 32102, 52824, 71296, 80075, 87396, 103923, 116413, 125579]"
